100 10000
  0   0  9.70024573130284125000e+02
  0   1  1.43684681313395884672e+02
  0   2  1.54387771017355639458e+01
  0   3  2.88998642639940079846e+01
  0   4  1.53501895346597706293e+02
  0   5 -6.13007697501860135958e+01
  0   6 -1.17586518701816089560e+01
  0   7 -6.05082114337805592186e+01
  0   8 -1.80564779595954689739e+02
  0   9 -9.52252546409990827669e+01
  0  10 -3.18374387372203564439e+01
  0  11 -9.51762870724197966865e+01
  0  12  3.15105375611107518807e+01
  0  13  5.26403544474121787289e+01
  0  14 -8.81480764981489528509e+01
  0  15  2.14564594610834475930e+01
  0  16 -1.07181870318010780352e+02
  0  17 -1.11649165575654265581e+02
  0  18 -2.74059711073151746064e+01
  0  19  6.20072802657754849065e+01
  0  20 -8.80692494475213862870e+01
  0  21 -7.11380307995532206178e+01
  0  22 -4.11230564558634270611e+01
  0  23 -5.82697338720774524745e+01
  0  24 -3.73301567588250264862e+01
  0  25 -9.04238131802209323951e+01
  0  26  5.02142837059734929994e+01
  0  27 -1.06061305872570088127e+02
  0  28 -1.07877623706003433313e+02
  0  29  8.95494602277499041065e+01
  0  30 -3.44918148292656994158e+01
  0  31 -5.96599256179170556180e+00
  0  32 -1.99227960721059275784e+02
  0  33  1.50340535008132064831e+02
  0  34 -7.83446245594066397189e+01
  0  35 -8.22632149148007698614e+01
  0  36  8.69904752448166789236e+01
  0  37  6.23537765293791821364e+01
  0  38 -7.96818096633772654513e+01
  0  39  3.88856718784081820672e+01
  0  40  1.39360035042836720720e+01
  0  41  1.34462799069636673721e+02
  0  42  2.69058239133397876230e+01
  0  43  7.05808568170129433383e+01
  0  44 -1.59851847136546098227e+02
  0  45 -1.87154186972000928790e+01
  0  46  2.46227570199398577699e+01
  0  47 -1.12607564397408822288e+02
  0  48 -4.63374035094139600233e+01
  0  49 -1.54045084161486101948e+02
  0  50  8.89051406737820286708e+01
  0  51  7.38364350140047633886e+01
  0  52 -3.12436622160145383020e+01
  0  53  5.42010715967902427792e+01
  0  54  7.74344112849331338566e+01
  0  55 -4.90859163918892633660e+01
  0  56 -4.11090589443300729044e+01
  0  57 -5.99395933978337467352e+01
  0  58  9.61342974282709050726e+00
  0  59  1.44991907153718546652e+01
  0  60  1.63356344956785370925e+01
  0  61 -1.56475950328273768264e+02
  0  62 -2.08433369770418863709e+01
  0  63 -1.59043657140672394235e+01
  0  64  6.51173982080698436903e+01
  0  65  1.38521697259813493019e+02
  0  66  7.16996391118270963716e+01
  0  67 -1.96664467154052751141e+01
  0  68 -5.13516998889324725042e+01
  0  69 -4.18663202033759631604e+01
  0  70 -2.38994058250088770023e+01
  0  71  9.50979023161075218695e+01
  0  72 -6.98215727915076058707e+01
  0  73 -8.53233045459627703622e+01
  0  74  3.80789749971417208485e+01
  0  75  4.31207680106952722099e+01
