300
  13 258  
  298 277    59 54    96 12    35 288    80 185  
  11 76    188 9    160 5    271 251    35 66  
  174 144    112 235    196 116    207 122    275 55  
  83 135    224 226    116 96    217 122    125 99  
  113 62    243 110    280 198    65 244    233 225  
  48 277    243 53    143 41    260 87    237 223  
  273 16    239 17    219 142    98 215    6 31  
  233 156    273 224    104 258    73 125    49 10  
  123 49    276 240    209 228    210 61    245 124  
  38 211    219 236    265 59    116 194    216 171  
  152 149    0 18    44 227    58 187    120 152  
  237 94    29 286    161 158    195 250    86 22  
  99 281    210 247    68 148    164 2    256 154  
  10 220    9 267    178 202    262 134    113 263  
  208 289    37 93    203 269    117 59    126 121  
  103 294    206 256    97 288    80 247    153 162  
  289 137    248 142    132 193    242 7    254 238  
  181 153    6 11    28 174    260 6    159 251  
  236 143    248 269    294 50    16 96    8 33  
  296 250    216 193    255 141    146 280    190 278  
  46 171    215 265    277 94    39 194    202 185  
  171 299    173 228    58 64    122 219    93 81  
  199 271    284 230    5 116    173 229    290 175  
  155 170    53 105    18 243    289 183    149 4  
  291 74    241 113    111 282    224 239    288 151  
  42 65    9 139    102 191    192 111    160 98  
  181 38    256 224    126 104    246 175    295 269  
  167 45    81 76    5 10    1 131    264 245  
  214 133    222 230    47 179    49 9    164 282  
  75 20    145 282    103 95    134 271    147 257  
  230 256    9 88    170 44    240 50    128 150  
  207 198    109 282    93 38    173 247    46 87  
  283 68    134 228    241 6    0 216    270 123  
  153 297    118 228    171 274    71 266    188 141  
  290 96    184 24    6 90    56 79    157 37  
  33 25    172 62    13 184    278 126    57 46  
  256 188    92 103    220 158    232 78    60 242  
  99 264    139 3    237 16    75 105    1 144  
  182 155    118 177    206 25    124 41    235 294  
  24 242    189 262    165 52    0 173    285 289  
  33 19    252 257    10 169    31 44    117 291  
  198 168    181 256    204 112    115 22    0 59  
  273 55    13 96    173 296    226 174    281 58  
  93 111    238 167    71 53    295 150    46 52  
  272 179    213 177    116 45    240 45    289 264  
  260 83    107 39    90 171    180 291    205 238  
  167 15    1 119    130 260    208 192    147 256  
  205 111    172 230    44 126    3 125    221 161  
  197 73    27 135    57 121    177 55    218 67  
  117 172    266 2    177 253    191 258    200 147  
  165 13    37 122    193 208    246 238    120 264  
  124 191    199 99    175 160    224 174    146 133  
  71 60    146 228    211 150    48 258    168 243  
  85 84    217 152    189 208    218 96    216 3  
  74 226    205 8    291 260    35 75    175 172  
  287 209    38 214    153 123    42 244    68 62  
  136 37    157 181    108 134    158 70    89 196  
  88 32    138 156    211 163    273 224    132 174  
  271 226    86 38    101 168    288 79    85 118  
  134 244    285 102    171 20    9 41    20 24  
  12 146    203 41    94 8    123 234    157 293  
  0 67    251 104    187 284    42 99    273 157  
  255 298    189 5    5 95    299 199    61 63  
  198 5    25 131    222 70    266 177    93 17  
