 - 12
a - 2236
abettors - 0
abide - 3
abilities - 22
ability - 2
abject - 2
able - 33
abolish - 6
aborigines - 0
abound - 2
abounds - 0
about - 39
above - 8
abridged - 0
abridges - 0
abroad - 0
absent - 4
absolute - 12
absolutely - 10
abstain - 3
abstract - 0
absurd - 20
abundance - 2
abundantly - 0
abuses - 2
abusive - 0
abydos - 2
academy - 2
accept - 6
accepted - 2
accepting - 3
access - 15
accessed - 0
accessible - 0
accident - 4
accidental - 2
accidentally - 3
accidents - 5
accommodate - 0
accommodated - 3
accompanied - 4
accomplish - 7
accomplished - 9
accomplishing - 0
accord - 3
accordance - 4
according - 84
account - 88
accountable - 0
accounted - 0
accounts - 3
accuracy - 2
accurate - 0
accurately - 2
accusations - 0
accuse - 3
accused - 0
accusing - 2
accustom - 4
accustomed - 11
accustoming - 0
achaeans - 2
acheans - 0
achieving - 0
achilles - 2
acknowledge - 0
acknowledged - 3
acquaintance - 0
acquainted - 5
acquire - 26
acquired - 14
acquiring - 6
acquisition - 10
acquits - 2
acquitted - 0
act - 22
acted - 2
acting - 0
action - 9
actions - 28
active - 8
activity - 4
actor - 2
acts - 5
actual - 8
actually - 5
adapt - 2
adapted - 13
adapting - 2
add - 13
added - 8
addicted - 0
addition - 2
additional - 6
additions - 0
address - 0
addressed - 0
addresses - 0
addressing - 0
adds - 0
adjoining - 0
adjudged - 2
adjust - 0
adjusted - 0
adjustment - 0
administer - 0
administered - 5
administering - 0
administration - 33
admirably - 0
admire - 0
admission - 0
admit - 35
admits - 9
admitted - 29
admitting - 3
adopt - 0
adopted - 3
adoption - 0
adoptive - 0
adorn - 0
adultery - 0
advance - 6
advanced - 2
advancement - 0
advantage - 23
advantageous - 32
advantages - 5
adversaries - 0
adverse - 0
advice - 7
advisable - 0
advise - 0
advised - 3
adviser - 0
aeconomics - 0
aegina - 2
aenotria - 0
aenotrians - 3
aesumnetes - 4
aesumnetic - 0
aethiopia - 0
affair - 4
affairs - 59
affect - 3
affectation - 0
affected - 7
affection - 9
affectionate - 2
affections - 2
affects - 0
affinity - 2
affirm - 8
affirmed - 3
affirms - 0
afflicted - 0
affords - 0
affront - 2
affronted - 2
afraid - 0
afresh - 0
africa - 0
after - 51
aftertimes - 0
afterward - 0
afterwards - 27
again - 18
against - 78
agamemnon - 0
agamemnons - 2
age - 21
agent - 0
ages - 5
agesilaus - 0
aggregations - 0
agitates - 0
agree - 26
agreeable - 13
agreeably - 3
agreed - 3
agreement - 25
agreements - 0
agrees - 2
agriculture - 2
ailing - 0
aim - 14
aimed - 5
aims - 3
air - 3
airs - 0
ak - 0
alacrity - 0
alarmed - 0
alcaeus - 0
aldus - 0
aleuadae - 0
